Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,tblcenter,,text,Record ID,,,,,,,,,,,,,
tblcenter_redcap_id,tblcenter,,text,Record ID from tblCENTER REDCap Project,,,,,,,,,,,,,
last_reviewed_d,tblcenter,,text,"Last Reviewed Date 
<div style=""font-weight:lighter;font-style:italic"">Date when this center's data was last reviewed and/or updated</div>",,,date_ymd,,,,,,,,,,
tblcenter_txt,tblcenter,,descriptive,"<div style=""color:white; text-align:center; border: 1px #34495e; background-color: #2c3e50;""><h3 style=""margin:0px; padding:10px"">CENTER Record</h3></div>",,,,,,,,,,,,,
region,tblcenter,"<div style=""font-weight:lighter"">This record represents a unique data site/unique physical location of care -- active or formerly active -- in the IeDEA network. The fields below collect the <u><a target=""_blank"" href=""https://redcap.vanderbilt.edu/plugins/iedea/des/index.php?pid=64149&tid=5&page=variables&deprecated=false&draft=false"">variables in tblCENTER</a></u> of the IeDEA Data Exchange Standard. </div>",dropdown,"REGION
<div style=""font-weight:lighter;font-style:italic"">IeDEA global region</div>","AP, Asia-Pacific | NA, NA-ACCORD (North America) | CN, CCASAnet (Latin America) | CA, Central Africa | EA, East Africa | SA, Southern Africa | WA, West Africa","Values: AP, EA, SA, WA, CA, CN, NA",,,,,,,,,,,
center,tblcenter,,text,"CENTER
<div style=""font-weight:lighter;font-style:italic"">Code for Clinic/Centre/Hospital where patient is seen.
Needs to be unique within each region.</div>",,,,,,,,,,,,,
name,tblcenter,,text,"NAME
<div style=""font-weight:lighter;font-style:italic"">Proper name to identify center</div>",,,,,,,,,,,,,
program,tblcenter,,text,"PROGRAM
<div style=""font-weight:lighter;font-style:italic"">Care program with which the center is associated (if applicable)</div>",,,,,,,,,,,,,
adultped,tblcenter,,dropdown,"ADULTPED
<div style=""font-weight:lighter;font-style:italic"">Population the center serves</div>","ADULT, Adults (ADULT) | PED, Children (PED) | BOTH, Adults and children (BOTH)",,,,,,,,,,,,
rural,tblcenter,,dropdown,"RURAL
<div style=""font-weight:lighter;font-style:italic"">Facility location</div>","1, Urban | 2, Mostly urban | 3, Mostly rural | 4, Rural | 9, Unknown",,,,,,,,,,,,
level,tblcenter,,dropdown,"LEVEL
<div style=""font-weight:lighter;font-style:italic"">Facility level of care</div>","1, Health centre | 2, District hospital | 3, Regional, provincial or university hospital | 9, Unknown",,,,,,,,,,,,
